"id","binID","binClearedTime","binFillingLevel","observationDateTime","binFullnessThreshold","license_plate"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5012","2021-09-22T11:08:00+05:30","0","2021-09-22T11:08:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5014","2021-09-09T09:18:00+05:30","0","2021-09-09T09:18:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5015","2021-06-19T08:41:00+05:30","0","2021-06-19T08:41:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5017","2021-09-09T07:51:00+05:30","0","2021-09-09T07:51:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5018","2021-08-04T15:04:00+05:30","0","2021-08-04T15:04:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5019","2020-12-30T01:35:00+05:30","0","2020-12-30T01:35:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5020","2021-07-09T07:46:00+05:30","0","2021-07-09T07:46:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5021","2021-09-22T10:51:00+05:30","0","2021-09-22T10:51:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5022","2021-01-01T10:19:00+05:30","0","2021-01-01T10:19:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5025","2021-02-28T08:37:00+05:30","0","2021-02-28T08:37:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5026","2021-01-10T20:54:00+05:30","0","2021-01-10T20:54:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5027","2021-09-21T08:43:00+05:30","0","2021-09-21T08:43:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5028","2021-03-02T00:53:00+05:30","0","2021-03-02T00:53:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5029","2021-03-05T21:19:00+05:30","0","2021-03-05T21:19:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5030","2020-11-30T07:17:00+05:30","0","2020-11-30T07:17:00+05:30","80","UP65HT3951"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5031","2021-07-04T09:37:00+05:30","0","2021-07-04T09:37:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5032","2021-07-10T07:51:00+05:30","0","2021-07-10T07:51:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5035","2020-12-30T10:19:00+05:30","0","2020-12-30T10:19:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5036","2021-03-02T01:22:00+05:30","0","2021-03-02T01:22:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5037","2020-11-24T12:14:00+05:30","0","2020-11-24T12:14:00+05:30","80","UP65HT3950"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5039","2021-01-28T11:24:00+05:30","0","2021-01-28T11:24:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5040","2021-03-15T20:40:00+05:30","0","2021-03-15T20:40:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5041","2021-09-03T08:34:00+05:30","0","2021-09-03T08:34:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5042","2021-06-06T10:42:00+05:30","0","2021-06-06T10:42:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5044","2021-06-29T00:38:00+05:30","0","2021-06-29T00:38:00+05:30","80","UP65HT3951"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5045","2021-02-19T23:35:00+05:30","0","2021-02-19T23:35:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5046","2021-04-19T07:48:00+05:30","0","2021-04-19T07:48:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5047","2021-07-09T08:07:00+05:30","0","2021-07-09T08:07:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5048","2020-12-04T09:16:00+05:30","0","2020-12-04T09:16:00+05:30","80","UP65BT3491"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5049","2021-03-12T11:15:00+05:30","0","2021-03-12T11:15:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5052","2021-02-23T09:15:00+05:30","0","2021-02-23T09:15:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5054","2020-12-04T08:48:00+05:30","0","2020-12-04T08:48:00+05:30","80","UP65BT3491"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5055","2021-07-04T22:40:00+05:30","0","2021-07-04T22:40:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5057","2021-07-04T11:11:00+05:30","0","2021-07-04T11:11:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5058","2021-09-27T22:47:00+05:30","0","2021-09-27T22:47:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5059","2021-07-15T08:04:00+05:30","0","2021-07-15T08:04:00+05:30","80","UP65HT3950"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5060","2021-01-03T00:24:00+05:30","0","2021-01-03T00:24:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5061","2021-02-04T08:51:00+05:30","0","2021-02-04T08:51:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5062","2021-08-21T21:56:00+05:30","0","2021-08-21T21:56:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5063","2021-01-05T22:17:00+05:30","0","2021-01-05T22:17:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5064","2021-09-02T09:36:00+05:30","0","2021-09-02T09:36:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5068","2021-07-22T10:13:00+05:30","0","2021-07-22T10:13:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5069","2021-07-21T17:18:00+05:30","0","2021-07-21T17:18:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5070","2021-07-04T11:47:00+05:30","0","2021-07-04T11:47:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5071","2021-09-09T07:24:00+05:30","0","2021-09-09T07:24:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5072","2021-12-09T00:29:00+05:30","0","2021-12-09T00:29:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5073","2021-07-29T14:27:00+05:30","0","2021-07-29T14:27:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5074","2021-07-30T08:24:00+05:30","0","2021-07-30T08:24:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5075","2020-12-26T00:37:00+05:30","0","2020-12-26T00:37:00+05:30","80","UP65HT3951"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5076","2021-05-30T10:02:00+05:30","0","2021-05-30T10:02:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5077","2021-08-04T10:18:00+05:30","0","2021-08-04T10:18:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5078","2021-07-22T10:18:00+05:30","0","2021-07-22T10:18:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5080","2021-09-04T13:23:00+05:30","0","2021-09-04T13:23:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5081","2021-11-07T22:45:00+05:30","0","2021-11-07T22:45:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5083","2021-07-23T10:51:00+05:30","0","2021-07-23T10:51:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5085","2021-08-02T10:38:00+05:30","0","2021-08-02T10:38:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5086","2022-01-16T22:12:00+05:30","0","2022-01-16T22:12:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5087","2021-10-20T23:14:00+05:30","0","2021-10-20T23:14:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5088","2021-03-30T11:57:00+05:30","0","2021-03-30T11:57:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5094","2021-09-02T08:51:00+05:30","0","2021-09-02T08:51:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5095","2022-01-08T23:14:00+05:30","0","2022-01-08T23:14:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5096","2021-09-04T12:59:00+05:30","0","2021-09-04T12:59:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5097","2021-05-30T09:32:00+05:30","0","2021-05-30T09:32:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5101","2022-01-16T22:52:00+05:30","0","2022-01-16T22:52:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5102","2021-09-09T08:11:00+05:30","0","2021-09-09T08:11:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5103","2021-07-22T09:18:00+05:30","0","2021-07-22T09:18:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5104","2021-08-21T22:13:00+05:30","0","2021-08-21T22:13:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5106","2021-07-23T10:02:00+05:30","0","2021-07-23T10:02:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5110","2020-11-05T13:03:00+05:30","79","2020-11-13T00:13:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","55","2021-07-19T16:09:00+05:30","0","2021-07-19T16:09:00+05:30","80","UP65HT3950"
"44a5bea6-0f64-4819-9cc1-c840801884a8","60","2021-07-15T09:34:00+05:30","0","2021-07-15T09:34:00+05:30","80","UP65HT3950"
"44a5bea6-0f64-4819-9cc1-c840801884a8","67","2020-09-23T10:24:00+05:30","0","2020-09-23T10:24:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","671","2020-10-10T07:57:00+05:30","0","2020-10-10T07:57:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","673","2020-12-04T09:38:00+05:30","0","2020-12-04T09:38:00+05:30","80","UP65BT3491"
"44a5bea6-0f64-4819-9cc1-c840801884a8","678","2021-05-16T08:02:00+05:30","0","2021-05-16T08:02:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","679","2021-07-07T08:52:00+05:30","0","2021-07-07T08:52:00+05:30","80","UP65HT3950"
"44a5bea6-0f64-4819-9cc1-c840801884a8","681","2021-08-04T17:05:00+05:30","0","2021-08-04T17:05:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","686","2021-05-24T15:29:00+05:30","0","2021-05-24T15:29:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","691","2021-09-03T08:06:00+05:30","0","2021-09-03T08:06:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","692","2021-09-21T07:32:00+05:30","0","2021-09-21T07:32:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","693","2021-07-19T16:29:00+05:30","0","2021-07-19T16:29:00+05:30","80","UP65HT3950"
"44a5bea6-0f64-4819-9cc1-c840801884a8","70","2020-12-13T12:28:00+05:30","0","2020-12-13T12:28:00+05:30","80","UP65HT3954"
"44a5bea6-0f64-4819-9cc1-c840801884a8","707","2020-12-31T23:46:00+05:30","0","2020-12-31T23:46:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","709","2020-11-03T09:21:00+05:30","0","2020-11-03T09:21:00+05:30","80","UP65BT3491"
"44a5bea6-0f64-4819-9cc1-c840801884a8","722","2021-07-30T09:08:00+05:30","0","2021-07-30T09:08:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","730","2021-09-22T11:05:00+05:30","0","2021-09-22T11:05:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","748","2020-08-29T08:30:00+05:30","78","2020-09-09T05:15:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","752","2020-08-20T10:07:00+05:30","0","2020-08-20T10:07:00+05:30","80","UP65HT3950"
"44a5bea6-0f64-4819-9cc1-c840801884a8","755","2020-12-28T08:36:00+05:30","0","2020-12-28T08:36:00+05:30","80","UP65HT3951"
"44a5bea6-0f64-4819-9cc1-c840801884a8","757","2021-01-09T08:23:00+05:30","0","2021-01-09T08:23:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","759","2021-08-05T09:14:00+05:30","0","2021-08-05T09:14:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","765","2021-09-26T22:32:00+05:30","0","2021-09-26T22:32:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","771","2021-05-24T15:24:00+05:30","0","2021-05-24T15:24:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","776","2020-12-13T11:21:00+05:30","0","2020-12-13T11:21:00+05:30","80","UP65HT3954"
"44a5bea6-0f64-4819-9cc1-c840801884a8","783","2021-01-27T09:11:00+05:30","0","2021-01-27T09:11:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","787","2021-05-31T09:11:00+05:30","0","2021-05-31T09:11:00+05:30","80","UP65HT3953"
"44a5bea6-0f64-4819-9cc1-c840801884a8","791","2021-07-30T08:29:00+05:30","0","2021-07-30T08:29:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","805","2020-12-25T23:39:00+05:30","0","2020-12-25T23:39:00+05:30","80","UP65HT3951"
"44a5bea6-0f64-4819-9cc1-c840801884a8","806","2021-09-03T08:51:00+05:30","0","2021-09-03T08:51:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","807","2020-11-05T14:40:00+05:30","0","2020-11-05T14:40:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","813","2021-07-12T14:04:00+05:30","0","2021-07-12T14:04:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","819","2020-11-22T09:45:00+05:30","0","2020-11-22T09:45:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","823","2021-06-06T08:43:00+05:30","0","2021-06-06T08:43:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","88","2021-07-25T09:13:00+05:30","0","2021-07-25T09:13:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","116","2019-09-22T10:11:43+05:30","100","2020-08-18T12:55:00+05:30","80","UP65KT1066"
"44a5bea6-0f64-4819-9cc1-c840801884a8","121","2020-07-02T09:32:00+05:30","64","2020-08-25T16:01:00+05:30","80","UP65HT5227"
"44a5bea6-0f64-4819-9cc1-c840801884a8","141","2019-04-28T09:29:48+05:30","78","2020-08-13T22:58:00+05:30","80","UP65HT5227"
"44a5bea6-0f64-4819-9cc1-c840801884a8","144","2019-09-21T09:06:20+05:30","79","2020-09-08T09:30:00+05:30","80","UP65FT7962"
"44a5bea6-0f64-4819-9cc1-c840801884a8","151","2020-05-21T10:23:00+05:30","7","2020-09-08T13:20:00+05:30","80","UP65GT9658"
"44a5bea6-0f64-4819-9cc1-c840801884a8","157","2019-05-07T08:37:48+05:30","100","2020-10-26T08:46:00+05:30","80","UP65HT5227"
"44a5bea6-0f64-4819-9cc1-c840801884a8","165","2020-07-01T10:16:00+05:30","68","2020-11-13T05:27:00+05:30","80","UP65HT5227"
"44a5bea6-0f64-4819-9cc1-c840801884a8","173","2020-06-04T07:34:00+05:30","0","2020-12-22T06:04:00+05:30","80","UP65HT3956"
"44a5bea6-0f64-4819-9cc1-c840801884a8","180","2019-12-08T09:37:00+05:30","0","2020-08-13T15:06:00+05:30","80","UP65FT7960"
"44a5bea6-0f64-4819-9cc1-c840801884a8","190","2019-02-26T09:17:39+05:30","100","2020-12-21T08:51:00+05:30","80","UP65GT3497(Remove)"
"44a5bea6-0f64-4819-9cc1-c840801884a8","201","2019-10-22T10:02:37+05:30","26","2020-08-30T06:24:00+05:30","80","UP65AT9193"
"44a5bea6-0f64-4819-9cc1-c840801884a8","215","2019-10-30T00:44:46+05:30","66","2020-12-22T04:50:00+05:30","80","UP65HT5229"
"44a5bea6-0f64-4819-9cc1-c840801884a8","218","2019-09-23T07:32:02+05:30","29","2020-12-22T04:50:00+05:30","80","UP65HT3952"
"44a5bea6-0f64-4819-9cc1-c840801884a8","231","2019-09-05T22:09:32+05:30","100","2020-09-13T09:02:00+05:30","80","UP65FT7962"
"44a5bea6-0f64-4819-9cc1-c840801884a8","243","2019-09-19T11:52:35+05:30","79","2020-08-07T13:43:00+05:30","80","UP65FT7962"
"44a5bea6-0f64-4819-9cc1-c840801884a8","255","2019-11-19T09:54:00+05:30","79","2020-10-19T08:17:00+05:30","80","UP65HT3954"
"44a5bea6-0f64-4819-9cc1-c840801884a8","258","2019-05-03T09:04:48+05:30","53","2020-09-16T07:49:00+05:30","80","UP65HT5227"
"44a5bea6-0f64-4819-9cc1-c840801884a8","283","2019-09-05T22:13:31+05:30","79","2020-10-25T01:22:00+05:30","80","UP65FT7962"
"44a5bea6-0f64-4819-9cc1-c840801884a8","29","2019-06-22T09:15:54+05:30","51","2020-09-06T17:05:00+05:30","80","UP65HT5228"
"44a5bea6-0f64-4819-9cc1-c840801884a8","296","2019-11-04T08:50:06+05:30","72","2020-09-30T09:47:00+05:30","80","UP65HT5229"
"44a5bea6-0f64-4819-9cc1-c840801884a8","342","2020-04-20T09:44:00+05:30","78","2020-10-07T16:06:00+05:30","80","UP65HT5229"
"44a5bea6-0f64-4819-9cc1-c840801884a8","349","2019-02-07T09:07:35+05:30","100","2020-12-22T07:23:00+05:30","80","UP65HT5230"
"44a5bea6-0f64-4819-9cc1-c840801884a8","365","2019-09-21T09:16:15+05:30","63","2020-10-24T15:41:00+05:30","80","UP65BT3491"
"44a5bea6-0f64-4819-9cc1-c840801884a8","382","2020-05-21T09:43:00+05:30","23","2020-11-05T11:55:00+05:30","80","UP65GT9658"
"44a5bea6-0f64-4819-9cc1-c840801884a8","40","2020-04-02T10:43:00+05:30","38","2020-09-10T11:02:00+05:30","80","UP65GT9658"
"44a5bea6-0f64-4819-9cc1-c840801884a8","43","2019-10-23T11:14:23+05:30","0","2020-10-25T02:40:00+05:30","80","UP65HT5227"
"44a5bea6-0f64-4819-9cc1-c840801884a8","5000","","100","2020-09-15T06:25:00+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5001","","21","2020-11-04T15:38:00+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5002","","0","2020-09-02T14:01:11+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5010","","0","2020-09-02T14:01:11+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5013","","0","2020-09-02T14:01:11+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5016","","100","2020-09-20T14:07:00+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5023","","0","2020-09-02T14:01:11+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5024","","0","2020-09-09T13:33:16+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5033","","80","2020-10-08T13:20:00+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5034","","0","2020-09-09T13:33:16+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5038","","0","2020-09-09T13:33:16+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5043","","2","2020-10-11T10:03:00+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5050","","0","2020-09-09T13:33:16+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5051","","0","2020-09-09T13:33:16+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5053","","100","2020-12-22T10:39:00+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5056","","0","2020-09-09T13:33:16+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5065","","0","2020-10-08T10:49:58+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5066","","0","2020-10-08T10:49:58+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5067","","0","2020-10-08T10:49:58+05:30","80",""
"44a5bea6-0f64-4819-9cc1-c840801884a8","5079","","0","2020-10-08T10:49:58+05:30","80",""
